name,sku,barcode,category,description,selling_price,cost_price,current_stock,min_stock_level,max_stock_level,supplier
"Vegetables","SKU000038","8901234000038","Sports & Outdoors","High quality vegetables - Sports & Outdoors",994,606,421,14,347,"Local Vendor"
"Yoga Mat","SKU000039","8901234000039","Furniture","High quality yoga mat - Furniture",788,525,397,12,327,"Regional Distributor"
"Dumbbell","SKU000040","8901234000040","Groceries","High quality dumbbell - Groceries",392,274,52,14,165,"Supplier C"
"Yoga Mat","SKU000041","8901234000041","Stationery","High quality yoga mat - Stationery",1628,920,249,6,169,"Local Vendor"
"T-Shirt","SKU000042","8901234000042","Pet Supplies","High quality t-shirt - Pet Supplies",1564,948,451,15,247,"Supplier B"
"Nuts","SKU000043","8901234000043","Jewelry","High quality nuts - Jewelry",673,434,434,10,414,"Wholesale Dist"
"Spices","SKU000044","8901234000044","Beauty & Personal Care","High quality spices - Beauty & Personal Care",1633,846,488,20,120,"Import Company"
"Pen","SKU000045","8901234000045","Sports & Outdoors","High quality pen - Sports & Outdoors",1768,993,257,5,178,"Wholesale Dist"
"Spatula","SKU000046","8901234000046","Home & Kitchen","High quality spatula - Home & Kitchen",392,236,22,17,226,"Supplier A"
"Deodorant","SKU000047","8901234000047","Furniture","High quality deodorant - Furniture",807,483,398,10,217,"Regional Distributor"
"RC Car","SKU000048","8901234000048","Electronics","High quality rc car - Electronics",261,193,73,13,326,"Local Vendor"
"Notebook","SKU000049","8901234000049","Books & Media","High quality notebook - Books & Media",819,581,372,11,482,"Supplier C"
"Table","SKU000050","8901234000050","Pet Supplies","High quality table - Pet Supplies",1502,812,95,19,312,"Local Vendor"
"Shirt","SKU000051","8901234000051","Automotive","High quality shirt - Automotive",1112,674,184,15,101,"Wholesale Dist"
"Vegetables","SKU000052","8901234000052","Furniture","High quality vegetables - Furniture",1647,836,78,7,460,"Premium Supplier"
"Shirt","SKU000053","8901234000053","Health & Wellness","High quality shirt - Health & Wellness",473,290,109,10,375,"Supplier A"
"Pen","SKU000054","8901234000054","Clothing","High quality pen - Clothing",700,476,240,16,367,"Wholesale Dist"
"Salt","SKU000055","8901234000055","Clothing","High quality salt - Clothing",709,405,227,12,246,"Import Company"
"Board Game","SKU000056","8901234000056","Books & Media","High quality board game - Books & Media",1050,700,237,7,193,"Supplier B"
"Magazine","SKU000057","8901234000057","Furniture","High quality magazine - Furniture",499,256,403,13,228,"Supplier C"
"Spices","SKU000058","8901234000058","Sports & Outdoors","High quality spices - Sports & Outdoors",1860,979,14,11,210,"Import Company"
"Dumbbell","SKU000059","8901234000059","Health & Wellness","High quality dumbbell - Health & Wellness",1703,878,357,10,274,"Premium Supplier"
"Webcam","SKU000060","8901234000060","Sports & Outdoors","High quality webcam - Sports & Outdoors",82,52,137,14,483,"Wholesale Dist"
"Glass","SKU000061","8901234000061","Sports & Outdoors","High quality glass - Sports & Outdoors",1423,852,405,16,218,"Import Company"
"Sugar","SKU000062","8901234000062","Books & Media","High quality sugar - Books & Media",1158,582,350,13,258,"Direct Manufacturer"
"Spices","SKU000063","8901234000063","Books & Media","High quality spices - Books & Media",557,453,200,8,218,"Wholesale Dist"
"Webcam","SKU000064","8901234000064","Stationery","High quality webcam - Stationery",526,376,413,10,454,"Wholesale Dist"
"Shelf","SKU000065","8901234000065","Beauty & Personal Care","High quality shelf - Beauty & Personal Care",1215,633,158,17,226,"Bulk Distributor"
"Conditioner","SKU000066","8901234000066","Stationery","High quality conditioner - Stationery",1572,914,71,12,176,"Supplier C"
"Underwear","SKU000067","8901234000067","Pet Supplies","High quality underwear - Pet Supplies",949,678,43,11,127,"Direct Manufacturer"
"Action Figure","SKU000068","8901234000068","Home & Kitchen","High quality action figure - Home & Kitchen",920,551,436,18,217,"Local Vendor"
"Headphones","SKU000069","8901234000069","Pet Supplies","High quality headphones - Pet Supplies",927,730,475,8,162,"Import Company"
"Rice","SKU000070","8901234000070","Jewelry","High quality rice - Jewelry",796,404,281,17,133,"Import Company"
"Monitor","SKU000071","8901234000071","Sports & Outdoors","High quality monitor - Sports & Outdoors",1650,994,80,14,392,"Bulk Distributor"
"Jacket","SKU000072","8901234000072","Clothing","High quality jacket - Clothing",966,755,44,17,434,"Supplier C"
"Wheat","SKU000073","8901234000073","Jewelry","High quality wheat - Jewelry",403,315,451,20,326,"Wholesale Dist"
"Basketball","SKU000074","8901234000074","Jewelry","High quality basketball - Jewelry",528,316,463,7,296,"Supplier A"
"Socks","SKU000075","8901234000075","Jewelry","High quality socks - Jewelry",437,230,490,19,482,"Wholesale Dist"
"Desk","SKU000076","8901234000076","Health & Wellness","High quality desk - Health & Wellness",136,76,245,6,245,"Bulk Distributor"
"Monitor","SKU000077","8901234000077","Books & Media","High quality monitor - Books & Media",726,494,367,19,188,"Supplier B"
"Plate","SKU000078","8901234000078","Jewelry","High quality plate - Jewelry",410,263,32,19,477,"Wholesale Dist"
"Milk","SKU000079","8901234000079","Automotive","High quality milk - Automotive",1185,817,233,12,430,"Premium Supplier"
"Sugar","SKU000080","8901234000080","Toys & Games","High quality sugar - Toys & Games",599,324,311,15,109,"Supplier C"
"Study Material","SKU000081","8901234000081","Home & Kitchen","High quality study material - Home & Kitchen",1109,676,207,9,355,"Regional Distributor"
"Speaker","SKU000082","8901234000082","Stationery","High quality speaker - Stationery",435,327,128,20,108,"Supplier C"
"Spices","SKU000083","8901234000083","Automotive","High quality spices - Automotive",329,181,30,17,301,"Direct Manufacturer"
"Power Bank","SKU000084","8901234000084","Jewelry","High quality power bank - Jewelry",472,328,50,19,466,"Supplier C"
"Shoes","SKU000085","8901234000085","Beauty & Personal Care","High quality shoes - Beauty & Personal Care",583,341,260,12,318,"Wholesale Dist"
"Smartwatch","SKU000086","8901234000086","Toys & Games","High quality smartwatch - Toys & Games",720,477,121,15,138,"Premium Supplier"
"Notebook","SKU000087","8901234000087","Pet Supplies","High quality notebook - Pet Supplies",284,225,345,18,248,"Import Company"
"Toothpaste","SKU000088","8901234000088","Furniture","High quality toothpaste - Furniture",1354,744,325,11,282,"Supplier B"
"Dress","SKU000089","8901234000089","Automotive","High quality dress - Automotive",1207,649,256,19,375,"Wholesale Dist"
"Phone Charger","SKU000090","8901234000090","Sports & Outdoors","High quality phone charger - Sports & Outdoors",371,247,485,11,230,"Supplier A"
"Wheat","SKU000091","8901234000091","Books & Media","High quality wheat - Books & Media",1632,824,123,9,120,"Regional Distributor"
"T-Shirt","SKU000092","8901234000092","Toys & Games","High quality t-shirt - Toys & Games",796,581,156,16,464,"Bulk Distributor"
"Jeans","SKU000093","8901234000093","Toys & Games","High quality jeans - Toys & Games",734,587,488,15,129,"Supplier A"
"Monitor","SKU000094","8901234000094","Books & Media","High quality monitor - Books & Media",422,315,267,12,198,"Supplier C"
"Sweater","SKU000095","8901234000095","Sports & Outdoors","High quality sweater - Sports & Outdoors",907,720,476,16,283,"Supplier A"
"Action Figure","SKU000096","8901234000096","Clothing","High quality action figure - Clothing",1044,779,333,5,430,"Regional Distributor"
"Newspaper","SKU000097","8901234000097","Stationery","High quality newspaper - Stationery",1720,935,298,6,486,"Supplier C"
"Pasta","SKU000098","8901234000098","Groceries","High quality pasta - Groceries",901,617,443,9,470,"Import Company"
"Sweater","SKU000099","8901234000099","Sports & Outdoors","High quality sweater - Sports & Outdoors",1004,717,168,7,161,"Bulk Distributor"
"RC Car","SKU000100","8901234000100","Sports & Outdoors","High quality rc car - Sports & Outdoors",374,195,284,15,256,"Wholesale Dist"
"Frying Pan","SKU000101","8901234000101","Jewelry","High quality frying pan - Jewelry",1195,653,478,10,416,"Premium Supplier"
"Knife","SKU000102","8901234000102","Musical Instruments","High quality knife - Musical Instruments",1261,746,326,14,120,"Import Company"
"Nuts","SKU000103","8901234000103","Jewelry","High quality nuts - Jewelry",564,324,428,6,234,"Supplier B"
"Spatula","SKU000104","8901234000104","Stationery","High quality spatula - Stationery",1048,540,291,18,319,"Supplier A"
"Dal","SKU000105","8901234000105","Groceries","High quality dal - Groceries",1017,628,99,18,376,"Import Company"
"Sweater","SKU000106","8901234000106","Clothing","High quality sweater - Clothing",988,610,482,8,471,"Supplier C"
"Chair","SKU000107","8901234000107","Musical Instruments","High quality chair - Musical Instruments",859,716,147,16,108,"Local Vendor"
"Cooking Pot","SKU000108","8901234000108","Toys & Games","High quality cooking pot - Toys & Games",1575,978,182,11,170,"Supplier B"
"Pillow","SKU000109","8901234000109","Stationery","High quality pillow - Stationery",189,112,468,19,160,"Wholesale Dist"
"Lotion","SKU000110","8901234000110","Furniture","High quality lotion - Furniture",613,308,423,9,149,"Bulk Distributor"
"Fruits","SKU000111","8901234000111","Groceries","High quality fruits - Groceries",1407,964,307,17,485,"Local Vendor"
"Basketball","SKU000112","8901234000112","Stationery","High quality basketball - Stationery",805,415,29,5,162,"Regional Distributor"
"Shelf","SKU000113","8901234000113","Pet Supplies","High quality shelf - Pet Supplies",250,191,269,19,174,"Wholesale Dist"
"Pillow","SKU000114","8901234000114","Clothing","High quality pillow - Clothing",1035,655,186,10,316,"Premium Supplier"
"Nuts","SKU000115","8901234000115","Pet Supplies","High quality nuts - Pet Supplies",1053,616,137,6,125,"Supplier A"
"Notebook","SKU000116","8901234000116","Jewelry","High quality notebook - Jewelry",673,477,188,12,453,"Premium Supplier"
"Bread","SKU000117","8901234000117","Groceries","High quality bread - Groceries",1474,899,247,20,241,"Import Company"
"Novel","SKU000118","8901234000118","Jewelry","High quality novel - Jewelry",1406,813,450,18,252,"Bulk Distributor"
"Shampoo","SKU000119","8901234000119","Books & Media","High quality shampoo - Books & Media",200,102,456,19,135,"Supplier B"
"Pen","SKU000120","8901234000120","Groceries","High quality pen - Groceries",1130,689,325,10,374,"Wholesale Dist"
"Board Game","SKU000121","8901234000121","Stationery","High quality board game - Stationery",219,175,303,16,100,"Supplier B"
"Milk","SKU000122","8901234000122","Home & Kitchen","High quality milk - Home & Kitchen",400,227,321,9,207,"Local Vendor"
"Phone Charger","SKU000123","8901234000123","Stationery","High quality phone charger - Stationery",1882,980,34,18,444,"Import Company"
"Cricket Bat","SKU000124","8901234000124","Furniture","High quality cricket bat - Furniture",902,477,438,7,235,"Wholesale Dist"
"Wireless Mouse","SKU000125","8901234000125","Automotive","High quality wireless mouse - Automotive",1826,987,400,20,307,"Direct Manufacturer"
"Plate","SKU000126","8901234000126","Health & Wellness","High quality plate - Health & Wellness",936,737,35,19,377,"Local Vendor"
"Cutting Board","SKU000127","8901234000127","Beauty & Personal Care","High quality cutting board - Beauty & Personal Care",1184,811,478,7,430,"Premium Supplier"
"Shirt","SKU000128","8901234000128","Automotive","High quality shirt - Automotive",210,171,117,5,249,"Import Company"
"Fruits","SKU000129","8901234000129","Books & Media","High quality fruits - Books & Media",143,88,132,13,100,"Premium Supplier"
"Phone Charger","SKU000130","8901234000130","Musical Instruments","High quality phone charger - Musical Instruments",791,628,122,10,156,"Supplier B"
"Doll","SKU000131","8901234000131","Stationery","High quality doll - Stationery",187,129,142,17,174,"Import Company"
"Sweater","SKU000132","8901234000132","Automotive","High quality sweater - Automotive",1248,805,454,20,447,"Direct Manufacturer"
"Toothpaste","SKU000133","8901234000133","Health & Wellness","High quality toothpaste - Health & Wellness",633,515,231,11,486,"Supplier A"
"Underwear","SKU000134","8901234000134","Health & Wellness","High quality underwear - Health & Wellness",1032,770,211,14,320,"Direct Manufacturer"
"Sugar","SKU000135","8901234000135","Musical Instruments","High quality sugar - Musical Instruments",801,646,414,15,174,"Local Vendor"
"Eraser","SKU000136","8901234000136","Health & Wellness","High quality eraser - Health & Wellness",1267,886,68,8,459,"Regional Distributor"
"Shampoo","SKU000137","8901234000137","Jewelry","High quality shampoo - Jewelry",1301,723,24,5,173,"Bulk Distributor"
"Action Figure","SKU000138","8901234000138","Books & Media","High quality action figure - Books & Media",184,135,351,8,314,"Wholesale Dist"
"Tea","SKU000139","8901234000139","Groceries","High quality tea - Groceries",1086,617,306,17,402,"Bulk Distributor"
"Bedsheet","SKU000140","8901234000140","Clothing","High quality bedsheet - Clothing",1643,903,115,19,152,"Supplier B"
"T-Shirt","SKU000141","8901234000141","Electronics","High quality t-shirt - Electronics",1164,808,324,9,101,"Bulk Distributor"
"Salt","SKU000142","8901234000142","Toys & Games","High quality salt - Toys & Games",1706,898,158,6,487,"Supplier C"
"Lotion","SKU000143","8901234000143","Toys & Games","High quality lotion - Toys & Games",620,413,156,12,346,"Direct Manufacturer"
"Jacket","SKU000144","8901234000144","Toys & Games","High quality jacket - Toys & Games",894,511,60,17,491,"Wholesale Dist"
"Vegetables","SKU000145","8901234000145","Toys & Games","High quality vegetables - Toys & Games",1108,815,329,20,340,"Regional Distributor"
"Newspaper","SKU000146","8901234000146","Health & Wellness","High quality newspaper - Health & Wellness",262,169,6,10,166,"Supplier A"
"Sugar","SKU000147","8901234000147","Furniture","High quality sugar - Furniture",1434,739,103,20,158,"Supplier A"
"Spatula","SKU000148","8901234000148","Automotive","High quality spatula - Automotive",1132,612,244,11,281,"Supplier B"
"Wheat","SKU000149","8901234000149","Automotive","High quality wheat - Automotive",700,534,49,11,376,"Direct Manufacturer"
"Whisk","SKU000150","8901234000150","Beauty & Personal Care","High quality whisk - Beauty & Personal Care",850,457,382,15,121,"Supplier B"
"Smartwatch","SKU000151","8901234000151","Groceries","High quality smartwatch - Groceries",1780,899,210,17,108,"Local Vendor"
"Study Material","SKU000152","8901234000152","Sports & Outdoors","High quality study material - Sports & Outdoors",1456,997,89,14,109,"Supplier B"
"Webcam","SKU000153","8901234000153","Pet Supplies","High quality webcam - Pet Supplies",914,682,334,9,245,"Supplier B"
"Smartwatch","SKU000154","8901234000154","Toys & Games","High quality smartwatch - Toys & Games",166,86,291,6,235,"Regional Distributor"
"Comic Book","SKU000155","8901234000155","Home & Kitchen","High quality comic book - Home & Kitchen",900,457,446,17,273,"Regional Distributor"
"Underwear","SKU000156","8901234000156","Musical Instruments","High quality underwear - Musical Instruments",910,484,167,20,228,"Supplier B"
"Deodorant","SKU000157","8901234000157","Pet Supplies","High quality deodorant - Pet Supplies",1127,772,412,14,495,"Wholesale Dist"
"Lotion","SKU000158","8901234000158","Groceries","High quality lotion - Groceries",631,369,465,14,243,"Supplier C"
"Bedsheet","SKU000159","8901234000159","Jewelry","High quality bedsheet - Jewelry",849,447,472,15,305,"Premium Supplier"
"Desk","SKU000160","8901234000160","Pet Supplies","High quality desk - Pet Supplies",1010,601,307,15,454,"Premium Supplier"
"Sugar","SKU000161","8901234000161","Electronics","High quality sugar - Electronics",1923,986,131,17,456,"Direct Manufacturer"
"Lotion","SKU000162","8901234000162","Electronics","High quality lotion - Electronics",277,159,460,15,308,"Premium Supplier"
"Yoga Mat","SKU000163","8901234000163","Clothing","High quality yoga mat - Clothing",505,287,30,12,431,"Regional Distributor"
"Oil","SKU000164","8901234000164","Books & Media","High quality oil - Books & Media",1327,677,362,19,284,"Supplier C"
"Jacket","SKU000165","8901234000165","Electronics","High quality jacket - Electronics",1183,688,475,5,327,"Wholesale Dist"
"Shelf","SKU000166","8901234000166","Automotive","High quality shelf - Automotive",565,445,478,14,400,"Wholesale Dist"
"Speaker","SKU000167","8901234000167","Beauty & Personal Care","High quality speaker - Beauty & Personal Care",823,470,218,15,110,"Local Vendor"
"Study Material","SKU000168","8901234000168","Groceries","High quality study material - Groceries",759,457,419,6,203,"Regional Distributor"
"Comic Book","SKU000169","8901234000169","Beauty & Personal Care","High quality comic book - Beauty & Personal Care",1012,585,228,16,109,"Supplier A"
"Plate","SKU000170","8901234000170","Clothing","High quality plate - Clothing",842,624,229,7,202,"Import Company"
"Lotion","SKU000171","8901234000171","Automotive","High quality lotion - Automotive",191,118,346,6,454,"Regional Distributor"
"Football","SKU000172","8901234000172","Electronics","High quality football - Electronics",1277,672,373,6,244,"Supplier B"
"Dress","SKU000173","8901234000173","Jewelry","High quality dress - Jewelry",1109,630,305,16,327,"Premium Supplier"
"Football","SKU000174","8901234000174","Books & Media","High quality football - Books & Media",78,54,264,6,146,"Supplier A"
"Desk","SKU000175","8901234000175","Automotive","High quality desk - Automotive",1094,720,216,17,431,"Regional Distributor"
"Action Figure","SKU000176","8901234000176","Beauty & Personal Care","High quality action figure - Beauty & Personal Care",484,297,100,17,413,"Premium Supplier"
"Comic Book","SKU000177","8901234000177","Automotive","High quality comic book - Automotive",327,172,384,13,495,"Import Company"
"Socks","SKU000178","8901234000178","Jewelry","High quality socks - Jewelry",234,132,192,7,379,"Direct Manufacturer"
"Underwear","SKU000179","8901234000179","Home & Kitchen","High quality underwear - Home & Kitchen",1352,926,141,20,228,"Supplier A"
"Lotion","SKU000180","8901234000180","Jewelry","High quality lotion - Jewelry",589,418,475,14,307,"Regional Distributor"
"Chair","SKU000181","8901234000181","Stationery","High quality chair - Stationery",708,466,245,6,125,"Direct Manufacturer"
"Nuts","SKU000182","8901234000182","Electronics","High quality nuts - Electronics",1470,942,35,9,322,"Supplier A"
"Speaker","SKU000183","8901234000183","Clothing","High quality speaker - Clothing",1164,939,432,12,332,"Direct Manufacturer"
"Tea","SKU000184","8901234000184","Jewelry","High quality tea - Jewelry",561,319,322,6,450,"Direct Manufacturer"
"Power Bank","SKU000185","8901234000185","Electronics","High quality power bank - Electronics",1308,884,363,7,323,"Import Company"
"Sweater","SKU000186","8901234000186","Musical Instruments","High quality sweater - Musical Instruments",116,65,262,19,108,"Direct Manufacturer"
"Smartwatch","SKU000187","8901234000187","Health & Wellness","High quality smartwatch - Health & Wellness",871,618,307,15,121,"Regional Distributor"
"Towel","SKU000188","8901234000188","Sports & Outdoors","High quality towel - Sports & Outdoors",941,672,221,8,483,"Bulk Distributor"
"Shampoo","SKU000189","8901234000189","Jewelry","High quality shampoo - Jewelry",960,505,54,8,444,"Local Vendor"
"Measuring Cup","SKU000190","8901234000190","Toys & Games","High quality measuring cup - Toys & Games",1204,651,204,12,326,"Wholesale Dist"
"Face Wash","SKU000191","8901234000191","Automotive","High quality face wash - Automotive",974,711,125,20,213,"Local Vendor"
"Notebook","SKU000192","8901234000192","Home & Kitchen","High quality notebook - Home & Kitchen",755,614,476,14,399,"Supplier B"
"Shoes","SKU000193","8901234000193","Books & Media","High quality shoes - Books & Media",292,163,111,15,241,"Local Vendor"
"Soap","SKU000194","8901234000194","Electronics","High quality soap - Electronics",767,426,81,18,469,"Supplier B"
"Jeans","SKU000195","8901234000195","Health & Wellness","High quality jeans - Health & Wellness",1132,602,487,13,350,"Premium Supplier"
"Sweater","SKU000196","8901234000196","Books & Media","High quality sweater - Books & Media",1139,666,302,11,489,"Supplier C"
"Smartphone","SKU000197","8901234000197","Jewelry","High quality smartphone - Jewelry",744,402,132,18,388,"Supplier A"
"Puzzle","SKU000198","8901234000198","Automotive","High quality puzzle - Automotive",218,130,218,15,242,"Local Vendor"
"Chair","SKU000199","8901234000199","Pet Supplies","High quality chair - Pet Supplies",212,148,144,8,312,"Bulk Distributor"
"Jeans","SKU000200","8901234000200","Pet Supplies","High quality jeans - Pet Supplies",1001,524,286,16,274,"Import Company"
"Basketball","SKU000201","8901234000201","Automotive","High quality basketball - Automotive",152,118,125,5,216,"Supplier A"
"Shelf","SKU000202","8901234000202","Musical Instruments","High quality shelf - Musical Instruments",204,144,216,8,223,"Premium Supplier"
"Dress","SKU000203","8901234000203","Health & Wellness","High quality dress - Health & Wellness",1328,868,475,20,312,"Supplier C"
"Power Bank","SKU000204","8901234000204","Clothing","High quality power bank - Clothing",322,199,473,8,109,"Import Company"
"Power Bank","SKU000205","8901234000205","Home & Kitchen","High quality power bank - Home & Kitchen",1003,836,308,7,217,"Bulk Distributor"
"Dress","SKU000206","8901234000206","Sports & Outdoors","High quality dress - Sports & Outdoors",265,189,389,17,131,"Supplier C"
"Headphones","SKU000207","8901234000207","Toys & Games","High quality headphones - Toys & Games",606,311,461,20,374,"Import Company"
"Pencil","SKU000208","8901234000208","Groceries","High quality pencil - Groceries",1208,845,230,17,360,"Supplier C"
"Board Game","SKU000209","8901234000209","Sports & Outdoors","High quality board game - Sports & Outdoors",499,306,421,16,384,"Premium Supplier"
"Face Wash","SKU000210","8901234000210","Musical Instruments","High quality face wash - Musical Instruments",1110,760,403,12,362,"Regional Distributor"
"Bread","SKU000211","8901234000211","Clothing","High quality bread - Clothing",338,179,262,16,434,"Premium Supplier"
"Shoes","SKU000212","8901234000212","Toys & Games","High quality shoes - Toys & Games",959,710,65,10,299,"Supplier A"
"Monitor","SKU000213","8901234000213","Home & Kitchen","High quality monitor - Home & Kitchen",1232,906,388,12,238,"Import Company"
"Wireless Mouse","SKU000214","8901234000214","Groceries","High quality wireless mouse - Groceries",341,251,269,9,230,"Premium Supplier"
"Building Blocks","SKU000215","8901234000215","Stationery","High quality building blocks - Stationery",1543,867,142,15,207,"Import Company"
"Ruler","SKU000216","8901234000216","Clothing","High quality ruler - Clothing",604,380,454,11,233,"Wholesale Dist"
"Nuts","SKU000217","8901234000217","Health & Wellness","High quality nuts - Health & Wellness",1449,796,66,7,362,"Import Company"
"Tea","SKU000218","8901234000218","Books & Media","High quality tea - Books & Media",381,204,401,14,194,"Supplier A"
"Wireless Mouse","SKU000219","8901234000219","Automotive","High quality wireless mouse - Automotive",278,158,401,6,477,"Import Company"
"Dumbbell","SKU000220","8901234000220","Beauty & Personal Care","High quality dumbbell - Beauty & Personal Care",550,357,395,19,191,"Regional Distributor"
"Table","SKU000221","8901234000221","Automotive","High quality table - Automotive",1212,842,467,17,155,"Supplier C"
"Pen","SKU000222","8901234000222","Furniture","High quality pen - Furniture",971,596,41,6,495,"Direct Manufacturer"
"Pencil","SKU000223","8901234000223","Musical Instruments","High quality pencil - Musical Instruments",1047,595,292,16,222,"Wholesale Dist"
"Pencil","SKU000224","8901234000224","Groceries","High quality pencil - Groceries",1389,798,59,13,122,"Supplier B"
"Towel","SKU000225","8901234000225","Electronics","High quality towel - Electronics",1210,654,356,8,364,"Bulk Distributor"
"Tablet","SKU000226","8901234000226","Home & Kitchen","High quality tablet - Home & Kitchen",1008,695,292,9,327,"Direct Manufacturer"
"Basketball","SKU000227","8901234000227","Clothing","High quality basketball - Clothing",314,201,77,19,244,"Supplier A"
"Comic Book","SKU000228","8901234000228","Beauty & Personal Care","High quality comic book - Beauty & Personal Care",266,147,153,20,453,"Local Vendor"
"Milk","SKU000229","8901234000229","Home & Kitchen","High quality milk - Home & Kitchen",968,583,178,20,472,"Direct Manufacturer"
"Underwear","SKU000230","8901234000230","Pet Supplies","High quality underwear - Pet Supplies",1487,831,54,14,416,"Local Vendor"
"Bed","SKU000231","8901234000231","Health & Wellness","High quality bed - Health & Wellness",1473,969,137,19,373,"Supplier A"
"Headphones","SKU000232","8901234000232","Groceries","High quality headphones - Groceries",767,436,175,20,173,"Supplier A"
"Rice","SKU000233","8901234000233","Pet Supplies","High quality rice - Pet Supplies",510,263,225,6,212,"Import Company"
"Tablet","SKU000234","8901234000234","Beauty & Personal Care","High quality tablet - Beauty & Personal Care",274,137,74,10,142,"Wholesale Dist"
"Face Wash","SKU000235","8901234000235","Musical Instruments","High quality face wash - Musical Instruments",869,494,85,10,289,"Import Company"
"Bedsheet","SKU000236","8901234000236","Books & Media","High quality bedsheet - Books & Media",1348,984,238,9,463,"Bulk Distributor"
"Wardrobe","SKU000237","8901234000237","Stationery","High quality wardrobe - Stationery",660,446,173,16,132,"Bulk Distributor"
